+-----------------------------------------------+---------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| resource_name                                 | physical_resource_id                                                            | resource_type                                                                                                                                                     | resource_status | updated_time         | stack_name                                                                                                                                                               |
| 19                                            | 31af4517-64af-499a-8468-fd2f17882681                                            | OS::TripleO::Services::SensuClient                                                                                                                                | CREATE_COMPLETE | 2017-08-29T10:41:14Z | overcloud-ComputeServiceChain-x5togefmxktt-ServiceChain-5vmkqbyyk7hx                                                                                                     |
| 9                                             | 685a83ad-f08f-4322-a8a9-e33406fc1e59                                            | OS::TripleO::Services::SensuClient                                                                                                                                | CREATE_COMPLETE | 2017-08-29T10:41:14Z | overcloud-CephStorageServiceChain-rxqniygqeh3f-ServiceChain-v6mjozzbrweo                                                                                                 |
| 14                                            | 937ca47a-d550-4d64-8ed5-587a85dfbce6                                            | OS::TripleO::Services::ComputeNeutronMetadataAgent                                                                                                                | CREATE_COMPLETE | 2017-08-29T10:41:15Z | overcloud-ComputeServiceChain-x5togefmxktt-ServiceChain-5vmkqbyyk7hx                                                                                                     |
| 2                                             | ac60d147-4531-40a6-83bf-1d9cce20ff24                                            | OS::TripleO::Services::CephExternal                                                                                                                               | CREATE_COMPLETE | 2017-08-29T10:41:15Z | overcloud-ComputeServiceChain-x5togefmxktt-ServiceChain-5vmkqbyyk7hx                                                                                                     |
| 11                                            | 7ba04e76-50e2-43ff-9f84-7154f8e16692                                            | OS::TripleO::Services::FluentdClient                                                                                                                              | CREATE_COMPLETE | 2017-08-29T10:41:16Z | overcloud-ObjectStorageServiceChain-7orvvftd53mb-ServiceChain-pgh52gxw4qoc                                                                                               |
| 10                                            | e80c977f-b6e8-420f-a703-f06688ff217d                                            | OS::TripleO::Services::SensuClient                                                                                                                                | CREATE_COMPLETE | 2017-08-29T10:41:17Z | overcloud-ObjectStorageServiceChain-7orvvftd53mb-ServiceChain-pgh52gxw4qoc                                                                                               |
| 67                                            | 779fc8f0-8d90-495e-bf89-456e59e613b1                                            | OS::TripleO::Services::NovaIronic                                                                                                                                 | CREATE_COMPLETE | 2017-08-29T10:41:20Z | overcloud-ControllerServiceChain-usvvycyfo3dh-ServiceChain-nsup4fnqa76y                                                                                                  |
| 73                                            | 5d380e2e-6e60-4b88-bf6c-8aa3afeb2773                                            | OS::TripleO::Services::FluentdClient                                                                                                                              | CREATE_COMPLETE | 2017-08-29T10:41:21Z | overcloud-ControllerServiceChain-usvvycyfo3dh-ServiceChain-nsup4fnqa76y                                                                                                  |
| 8                                             | 4b158c29-1169-4985-acb0-9a55da6f5f8d                                            | OS::TripleO::Services::Core                                                                                                                                       | CREATE_COMPLETE | 2017-08-29T10:41:21Z | overcloud-ControllerServiceChain-usvvycyfo3dh-ServiceChain-nsup4fnqa76y                                                                                                  |
| 53                                            | 02ce8b5b-8e23-4131-9631-07363bcb2b3f                                            | OS::TripleO::Services::ManilaApi                                                                                                                                  | CREATE_COMPLETE | 2017-08-29T10:41:22Z | overcloud-ControllerServiceChain-usvvycyfo3dh-ServiceChain-nsup4fnqa76y                                                                                                  |
| 63                                            | 1e114936-5831-4f24-8947-e6f3a44f28cc                                            | OS::TripleO::Services::SaharaApi                                                                                                                                  | CREATE_COMPLETE | 2017-08-29T10:41:22Z | overcloud-ControllerServiceChain-usvvycyfo3dh-ServiceChain-nsup4fnqa76y                                                                                                  |
| 58                                            | 7c3f069c-5226-4c83-9fa9-2b2d83fb78f1                                            | OS::TripleO::Services::ManilaShare                                                                                                                                | CREATE_COMPLETE | 2017-08-29T10:41:23Z | overcloud-ControllerServiceChain-usvvycyfo3dh-ServiceChain-nsup4fnqa76y                                                                                                  |
| 2                                             | 8f3afe07-bb85-4ad6-98a3-027227c3234f                                            | OS::TripleO::Services::CephExternal                                                                                                                               | CREATE_COMPLETE | 2017-08-29T10:41:25Z | overcloud-ControllerServiceChain-usvvycyfo3dh-ServiceChain-nsup4fnqa76y                                                                                                  |
| 64                                            | 945b1efe-18bc-4f17-96e7-1e529ca78939                                            | OS::TripleO::Services::SaharaEngine                                                                                                                               | CREATE_COMPLETE | 2017-08-29T10:41:25Z | overcloud-ControllerServiceChain-usvvycyfo3dh-ServiceChain-nsup4fnqa76y                                                                                                  |
| 65                                            | 0979e6be-c72f-4519-bd98-4057b44e3135                                            | OS::TripleO::Services::IronicApi                                                                                                                                  | CREATE_COMPLETE | 2017-08-29T10:41:25Z | overcloud-ControllerServiceChain-usvvycyfo3dh-ServiceChain-nsup4fnqa76y                                                                                                  |
| 70                                            | 216c1397-6930-49e0-916c-5309b712d312                                            | OS::TripleO::Services::OpenDaylightApi                                                                                                                            | CREATE_COMPLETE | 2017-08-29T10:41:25Z | overcloud-ControllerServiceChain-usvvycyfo3dh-ServiceChain-nsup4fnqa76y                                                                                                  |
